,venue,team1,team2,toss_winner,toss_decision,first_average,second_average
351,-1,8,1,8,1,0.702280281445106,0.7119005592731212
352,-1,5,7,5,2,0.7014727307159014,0.7126962944073558
353,-1,4,8,4,2,0.7383930833539608,0.6743705616758717
354,1,1,3,1,1,0.7916354049378045,0.6109937689117283
355,4,4,5,5,1,0.7029351681296114,0.7112539275157607
356,2,2,6,6,2,0.7025003681833333,0.7116833795321351
357,7,7,8,7,2,0.7025886646132301,0.7115962115954511
358,-1,6,3,3,2,0.7280749824624807,0.6854974981079497
359,2,2,1,1,2,0.7031675589124661,0.7110241796824377
360,4,4,7,7,2,0.7436874106190358,0.6685275127373247
361,2,2,3,2,1,0.7027285362744408,0.7114580833089058
362,-1,5,1,1,2,0.7769328276609829,0.6295834982770034
363,-1,6,8,6,2,0.7950259810883763,0.6065753781637241
364,7,7,5,7,2,0.766008100567373,0.6428309185665895
365,2,2,8,8,2,0.6908577715463126,0.7229906911531179
366,4,4,1,1,2,0.7026456721493012,0.7115399211638492
367,-1,5,3,3,2,0.7024085519692114,0.7117739993288008
368,7,7,6,7,1,0.7034143927642639,0.7107799885000153
369,8,8,4,8,1,0.7026456721493012,0.7115399211638492
370,1,1,6,6,1,0.7023771277714427,0.7118050086811265
371,7,7,2,2,2,0.7379726582280446,0.6748306126042547
372,8,8,5,5,2,0.7036825952557098,0.7105144651125613
373,-1,3,4,3,2,0.7021448105364912,0.7120341740651742
374,-1,6,2,2,2,0.821899128606505,0.569633059430251
375,1,1,7,1,1,0.7020381095567656,0.7121393773201723
376,8,8,3,8,1,0.702179386223622,0.7120000769400363
377,-1,6,4,4,1,0.7580595646092233,0.6521853237420133
378,2,2,5,5,2,0.7028343490605733,0.7113535532916105
379,8,8,7,7,1,0.7027285362744408,0.7114580833089058
380,3,3,1,3,2,0.7025596109834729,0.7116248962864855
381,5,5,4,4,2,0.7026173493413279,0.7115678888233831
382,3,3,7,7,2,0.7630908502058317,0.6462912302763676
383,1,1,8,8,2,0.7033154053030363,0.7108779365428538
384,4,4,2,2,2,0.738209882892656,0.6745710998846683
385,5,5,6,6,2,0.7391963372747966,0.6734899961837036
386,7,7,1,1,2,0.7025596109834729,0.7116248962864855
387,3,3,8,3,2,0.7027285362744408,0.7114580833089058
388,5,5,2,5,2,0.7010375280810152,0.7131243820134464
389,4,4,6,4,2,0.703395010941708,0.7107991689516207
390,3,5,3,5,2,0.769757960393397,0.6383358695945244
391,4,1,4,1,2,0.703054692658077,0.7111357810794342
392,4,1,5,1,2,0.7454130545994365,0.6666028638047824
393,7,3,5,3,2,0.7035801295960805,0.7106159308920413
394,3,3,4,3,2,0.7029351681296114,0.7112539275157607
395,1,1,2,2,2,0.7094520579063079,0.7047536999069284
396,-1,5,6,5,2,0.7655197951113987,0.6434123431304394
397,1,1,8,1,1,0.7863183388224226,0.6178215519319036
398,3,3,7,7,2,0.7031454914691535,0.7110460026092563
399,2,2,6,6,2,0.7032949675016306,0.710898156339486
400,4,4,5,4,2,0.7437095088347183,0.6685029292896344
401,7,7,8,8,2,0.7028853604521851,0.7113031492001155
402,-1,6,4,4,1,0.7028343490605733,0.7113535532916105
403,-1,5,2,5,1,0.7028600079314319,0.7113282007980757
404,8,8,6,6,2,0.7016042529953588,0.7125668194484112
405,4,4,1,4,1,0.7032743081666771,0.7109185941250106
406,8,8,2,2,1,0.7155742058807848,0.6985367247883851
407,-1,5,3,3,2,0.7025886646132301,0.7115962115954511
408,-1,6,1,1,1,0.7026173493413279,0.7115678888233831
409,7,7,4,7,2,0.7380288120022733,0.6747691995449356
410,2,2,3,3,2,0.7023130012327302,0.7118682801610667
411,8,8,3,3,2,0.756534614858513,0.653953650131935
412,7,7,1,7,2,0.761319704311593,0.6483766712543787
413,2,2,4,4,2,0.7784772818880895,0.6276727822553182
414,-1,6,7,7,2,0.70172977504731,0.7124432067274217
415,4,4,8,4,1,0.7531669788906415,0.6578293866260034
416,1,1,5,1,1,0.8953530930890938,0.4453569789458705
417,2,2,7,7,2,0.6997798348164428,0.7143585813751188
418,5,5,8,5,2,0.7553588807227677,0.6553113468522025
419,1,1,3,3,2,0.7123638613662797,0.7018103226793718
420,3,3,1,3,2,0.7028600079314319,0.7113282007980757
421,2,2,5,2,2,0.7011898782285618,0.7129745820643361
422,4,4,6,6,2,0.7223080101982803,0.691571499126013
423,7,7,3,7,2,0.7008217572776737,0.713336431514775
424,8,8,1,1,2,0.7484781772984526,0.6631594213369709
425,5,5,4,4,1,0.7555449653736075,0.6550967907863648
426,4,6,2,2,2,0.7336180748552401,0.679562006181696
427,1,1,7,1,1,0.7661098731625238,0.6427096251363454
428,3,3,8,8,2,0.7840458244617614,0.6207029443655611
429,4,4,2,2,1,0.7025003681833333,0.7116833795321351
430,7,7,5,5,2,0.9310005289263952,0.3650178285218026
431,3,3,2,3,1,0.7343122193130283,0.6788118771556483
432,4,6,8,6,2,0.7194628285914054,0.6945309483926934
433,1,1,4,1,1,0.7026736398436252,0.7115123019800229
434,3,3,5,5,1,0.7032743081666771,0.7109185941250106
435,-1,2,8,8,1,0.7201576722416738,0.6938104403303931
436,4,4,7,7,1,0.767687748455118,0.6408240951087214
437,1,1,6,1,1,0.7344469164753422,0.6786661380088606
438,8,8,5,8,1,0.7166738797294248,0.6974084528549779
439,-1,2,1,1,1,0.7012389761168877,0.7129262923855025
440,5,5,7,7,2,0.7830060188903447,0.6220141271558813
441,4,4,3,3,2,0.7174580508079541,0.6966017121216764
442,8,8,7,8,1,0.6984315939659476,0.7156768185083165
443,5,5,1,5,1,0.70172977504731,0.7124432067274217
444,4,6,3,6,1,0.7231913397140647,0.6906477294269318
445,8,8,4,8,1,0.7009315268217042,0.7132285711519096
446,4,1,4,4,1,0.75555646342816,0.6550835294616493
447,-1,7,6,7,1,0.8545630285290358,0.519347696896099
448,1,1,7,1,2,0.7020741827848284,0.7121038139674688
449,3,4,1,1,2,0.7816195310810256,0.6237554878577642
450,3,3,2,3,2,0.7000007142139285,0.7141421427839069
451,7,7,8,8,2,0.7798666941540278,0.6259456360973118
452,3,3,4,4,2,0.7033556304069442,0.7108381371134009
453,2,2,5,2,2,0.7008217572776737,0.713336431514775
454,8,8,3,8,1,0.702179386223622,0.7120000769400363
455,7,7,2,2,2,0.7034335732294192,0.7107610062838924
456,8,8,4,8,2,0.702179386223622,0.7120000769400363
457,5,5,3,3,2,0.7020381095567656,0.7121393773201723
